Participant_ID,Age,Gender,I would like to use NutrIA frequently,NutrIA was easy to use,The functions in NutrIA were well integrated,Most people would learn to use  NutrIA very quickly,I felt very confident using NutrIA,I was able to perform tasks quickly using NutrIA,I was able to perform tasks efficiently using NutrIA,I felt comfortable using NutrIA,It was simple to use NutrIA,It was easy to learn to use NutrIA,I could become productive quickly using NutrIA,NutrIA is user-friendly,Using NutrIA is effortless,The interface is pleasant,I like using NutrIA,NutrIA is simple and easy to understand,NutrIA can do everything I want it to do,I could recover easily from mistakes,NutrIA improves my access to nutrition services,NutrIA saves me time traveling,NutrIA covers my counseling needs,NutrIA is useful,NutrIA saves me time when I use it,NutrIA meets my needs,NutrIA is an acceptable way to receive information,I would use  NutrIA again,"Overall, I am satisfied with NutrIA",NutrIA can be trusted to work appropriately,NutrIA can be recommended to people in a similar situation,NutrIA is a good addition to regular counseling care,I am willing to share nutrition information with NutrIA,I am willing to share nutrition information with the HB in the future,I am willing to seek nutrition information via NutrIA,I am willing to seek nutrition information via NutrIA in the future
P03,48,Male,5,4,5,2,3,5,4,3,3,4,5,4,3,4,4,5,5,5,4,3,4,5,4,4,5,5,5,4,5,3,4,4,5,5
P07,48,Female,4,5,4,3,4,3,4,4,4,4,4,4,4,4,4,5,4,5,4,3,5,5,4,4,5,5,5,4,5,4,4,5,5,5
P10,45,Female,5,4,5,3,5,4,4,3,4,3,5,4,3,4,5,3,4,3,3,3,4,5,3,5,5,5,5,5,4,4,5,3,5,5
P15,43,Female,5,4,5,4,5,3,4,3,3,3,5,4,4,4,4,4,2,3,5,4,4,5,3,4,5,5,4,5,5,5,4,3,5,5
P12,42,Female,5,5,3,3,5,4,4,4,4,5,3,4,4,5,5,4,5,5,4,3,4,5,4,4,5,4,5,5,5,5,5,4,5,5
P08,40,Female,4,4,4,5,5,3,3,4,4,4,4,5,5,4,4,5,4,4,4,3,5,5,4,4,5,5,4,4,4,4,5,4,5,5
P02,39,Female,5,4,4,3,5,4,4,4,4,5,4,4,5,5,4,4,3,5,5,3,4,5,5,4,4,5,5,4,5,4,4,2,5,5
P11,38,Female,4,2,5,4,5,3,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,4,5,4,4,5,5,5,4,4,5,5
P04,34,Female,4,5,5,3,5,3,4,4,4,5,4,4,3,5,4,5,2,4,4,3,5,5,3,4,4,5,5,4,5,3,4,4,5,5
P05,30,Female,5,5,4,5,5,3,4,5,5,4,4,4,4,4,4,4,5,4,5,4,5,5,3,4,5,4,4,4,4,5,4,3,5,5
P13,30,Female,5,4,4,4,3,5,3,5,5,5,3,5,4,5,5,5,5,5,5,3,5,5,4,3,5,5,5,5,5,4,5,4,5,5
P14,30,Female,4,4,5,3,4,4,4,4,4,5,5,5,5,5,4,4,4,3,5,4,5,5,4,4,5,5,5,4,5,3,3,4,5,5
P06,27,Female,4,5,5,5,5,4,5,4,4,5,4,4,4,5,4,5,3,4,5,3,5,5,4,5,5,5,5,4,5,5,5,4,5,4
P01,26,Female,5,3,5,3,5,5,5,5,4,4,2,3,4,4,5,5,4,3,4,4,5,5,3,5,4,5,5,4,5,4,4,4,5,5
P09,26,Male,5,5,3,4,4,5,4,5,5,5,5,4,5,4,5,4,3,4,5,3,5,5,3,5,5,5,5,5,4,4,4,5,5,5
,,,4.6,4.2,4.4,3.6,4.533333333,3.866666667,4,4.133333333,4.133333333,4.4,4.133333333,4.2,4.133333333,4.4,4.4,4.466666667,3.866666667,4.133333333,4.466666667,3.4,4.666666667,5,3.6,4.2,4.8,4.8,4.733333333,4.4,4.733333333,4.133333333,4.266666667,3.8,5,4.933333333
